t_rel_s,sim_joint4_deg,real_joint4_deg
1.6160,-4.2538,-3.1382
1.6200,-4.1847,-3.0815
1.6240,-4.1140,-3.0256
1.6280,-4.0440,-2.9697
1.6320,-3.9722,-2.9138
1.6360,-3.8989,-2.8581
1.6400,-3.8687,-2.8040
1.6440,-3.8263,-2.7500
1.6480,-3.7559,-2.6964
1.6520,-3.6837,-2.6429
1.6560,-3.6109,-2.5889
1.6600,-3.5404,-2.5349
1.6640,-3.4710,-2.4837
1.6680,-3.4033,-2.4325
1.6720,-3.3712,-2.3813
1.6760,-3.3313,-2.3302
1.6800,-3.2637,-2.2807
1.6840,-3.1961,-2.2314
1.6880,-3.1282,-2.1835
1.6920,-3.0610,-2.1357
1.6960,-3.0331,-2.0888
1.7000,-2.9956,-2.0421
1.7040,-2.9294,-1.9964
1.7080,-2.8643,-1.9512
1.7120,-2.7984,-1.9023
1.7160,-2.7332,-1.8518
1.7200,-2.6685,-1.8013
1.7240,-2.6047,-1.7508
1.7280,-2.5453,-1.7047
1.7320,-2.5163,-1.6639
1.7360,-2.4817,-1.6251
1.7400,-2.4216,-1.5885
1.7440,-2.3641,-1.5531
1.7480,-2.3083,-1.5195
1.7520,-2.2519,-1.4873
1.7560,-2.1969,-1.4575
1.7600,-2.1445,-1.4277
1.7640,-2.1208,-1.3979
1.7680,-2.0929,-1.3690
1.7720,-2.0404,-1.3419
1.7760,-1.9887,-1.3157
1.7800,-1.9381,-1.2915
1.7840,-1.8883,-1.2676
1.7880,-1.8664,-1.2449
1.7920,-1.8399,-1.2223
1.7960,-1.7914,-1.2003
1.8000,-1.7440,-1.1788
1.8040,-1.6979,-1.1604
1.8080,-1.6534,-1.1420
1.8120,-1.6094,-1.1237
1.8160,-1.5665,-1.1053
1.8200,-1.5482,-1.0907
1.8240,-1.5254,-1.0761
1.8280,-1.4872,-1.0645
1.8320,-1.4497,-1.0531
1.8360,-1.4133,-1.0442
1.8400,-1.3790,-1.0355
1.8440,-1.3465,-1.0311
1.8480,-1.3165,-1.0275
1.8520,-1.3023,-1.0238
1.8560,-1.2867,-1.0201
1.8600,-1.2587,-1.0198
1.8640,-1.2325,-1.0205
1.8680,-1.2087,-1.0207
1.8720,-1.1858,-1.0207
1.8760,-1.1638,-1.0209
1.8800,-1.1544,-1.0212
1.8840,-1.1436,-1.0215
1.8880,-1.1258,-1.0219
1.8920,-1.1092,-1.0220
1.8960,-1.0941,-1.0221
1.9000,-1.0811,-1.0222
1.9040,-1.0694,-1.0222
1.9080,-1.0593,-1.0223
1.9120,-1.0549,-1.0224
1.9160,-1.0502,-1.0225
1.9200,-1.0428,-1.0228
1.9240,-1.0366,-1.0230
1.9280,-1.0317,-1.0232
1.9320,-1.0279,-1.0234
1.9360,-1.0249,-1.0234
1.9400,-1.0228,-1.0234
1.9440,-1.0220,-1.0235
1.9480,-1.0214,-1.0235
1.9520,-1.0204,-1.0236
1.9560,-1.0197,-1.0236
1.9600,-1.0193,-1.0236
1.9640,-1.0192,-1.0236
1.9680,-1.0192,-1.0236
1.9720,-1.0192,-1.0236
1.9760,-1.0194,-1.0236
1.9800,-1.0196,-1.0236
1.9840,-1.0199,-1.0236
1.9880,-1.0203,-1.0236
1.9920,-1.0207,-1.0236
1.9960,-1.0211,-1.0235
2.0000,-1.0213,-1.0236
2.0040,-1.0215,-1.0236
2.0080,-1.0218,-1.0237
2.0120,-1.0222,-1.0239
2.0160,-1.0225,-1.0239
2.0200,-1.0227,-1.0239
2.0240,-1.0229,-1.0239
2.0280,-1.0231,-1.0239
2.0320,-1.0231,-1.0240
2.0360,-1.0232,-1.0240
2.0400,-1.0233,-1.0241
2.0440,-1.0234,-1.0243
2.0480,-1.0235,-1.0244
2.0520,-1.0236,-1.0244
2.0560,-1.0236,-1.0244
2.0600,-1.0236,-1.0243
2.0640,-1.0237,-1.0243
2.0680,-1.0237,-1.0243
2.0720,-1.0237,-1.0243
2.0760,-1.0238,-1.0243
2.0800,-1.0238,-1.0243
2.0840,-1.0239,-1.0243
2.0880,-1.0239,-1.0243
2.0920,-1.0239,-1.0243
2.0960,-1.0239,-1.0243
2.1000,-1.0240,-1.0244
2.1040,-1.0240,-1.0244
2.1080,-1.0241,-1.0244
2.1120,-1.0241,-1.0244
2.1160,-1.0241,-1.0243
2.1200,-1.0242,-1.0243
2.1240,-1.0242,-1.0243
2.1280,-1.0242,-1.0243
2.1320,-1.0242,-1.0243
2.1360,-1.0242,-1.0243
2.1400,-1.0243,-1.0243
2.1440,-1.0243,-1.0243
2.1480,-1.0243,-1.0243
2.1520,-1.0243,-1.0243
2.1560,-1.0243,-1.0242
2.1600,-1.0243,-1.0242
2.1640,-1.0243,-1.0242
2.1680,-1.0243,-1.0242
2.1720,-1.0243,-1.0241
2.1760,-1.0243,-1.0241
2.1800,-1.0243,-1.0241
2.1840,-1.0243,-1.0241
2.1880,-1.0243,-1.0242
2.1920,-1.0243,-1.0243
2.1960,-1.0243,-1.0242
2.2000,-1.0243,-1.0242
2.2040,-1.0243,-1.0242
2.2080,-1.0243,-1.0242
2.2120,-1.0243,-1.0242
2.2160,-1.0243,-1.0242
2.2200,-1.0243,-1.0242
2.2240,-1.0242,-1.0242
2.2280,-1.0242,-1.0242
2.2320,-1.0242,-1.0242
2.2360,-1.0242,-1.0242
2.2400,-1.0242,-1.0242
2.2440,-1.0242,-1.0242
2.2480,-1.0242,-1.0242
2.2520,-1.0242,-1.0242
2.2560,-1.0242,-1.0241
2.2600,-1.0242,-1.0241
2.2640,-1.0242,-1.0241
2.2680,-1.0242,-1.0241
2.2720,-1.0242,-1.0240
2.2760,-1.0242,-1.0241
2.2800,-1.0242,-1.0241
2.2840,-1.0242,-1.0241
2.2880,-1.0242,-1.0241
2.2920,-1.0242,-1.0241
2.2960,-1.0242,-1.0241
2.3000,-1.0242,-1.0242
2.3040,-1.0242,-1.0242
2.3080,-1.0242,-1.0242
2.3120,-1.0242,-1.0242
2.3160,-1.0242,-1.0242
2.3200,-1.0241,-1.0242
2.3240,-1.0241,-1.0242
2.3280,-1.0241,-1.0242
2.3320,-1.0241,-1.0241
2.3360,-1.0241,-1.0241
2.3400,-1.0241,-1.0240
2.3440,-1.0241,-1.0240
2.3480,-1.0241,-1.0241
2.3520,-1.0241,-1.0241
2.3560,-1.0241,-1.0241
2.3600,-1.0241,-1.0241
2.3640,-1.0241,-1.0241
2.3680,-1.0242,-1.0241
2.3720,-1.0242,-1.0241
2.3760,-1.0242,-1.0241
2.3800,-1.0242,-1.0241
2.3840,-1.0242,-1.0241
2.3880,-1.0242,-1.0242
2.3920,-1.0242,-1.0242
2.3960,-1.0242,-1.0242
2.4000,-1.0242,-1.0242
2.4040,-1.0242,-1.0242
2.4080,-1.0241,-1.0242
2.4120,-1.0241,-1.0242
2.4160,-1.0241,-1.0241
2.4200,-1.0241,-1.0241
2.4240,-1.0241,-1.0241
2.4280,-1.0241,-1.0241
2.4320,-1.0241,-1.0241
2.4360,-1.0241,-1.0241
2.4400,-1.0242,-1.0241
2.4440,-1.0242,-1.0241
2.4480,-1.0242,-1.0241
2.4520,-1.0242,-1.0241
2.4560,-1.0242,-1.0241
2.4600,-1.0242,-1.0242
2.4640,-1.0242,-1.0242
2.4680,-1.0242,-1.0243
2.4720,-1.0242,-1.0243
2.4760,-1.0242,-1.0243
2.4800,-1.0242,-1.0243
2.4840,-1.0242,-1.0243
2.4880,-1.0241,-1.0243
2.4920,-1.0241,-1.0242
2.4960,-1.0241,-1.0242
2.5000,-1.0242,-1.0242
2.5040,-1.0242,-1.0242
2.5080,-1.0242,-1.0242
2.5120,-1.0242,-1.0242
2.5160,-1.0242,-1.0243
2.5200,-1.0242,-1.0243
2.5240,-1.0242,-1.0243
2.5280,-1.0242,-1.0242
2.5320,-1.0242,-1.0242
2.5360,-1.0242,-1.0242
2.5400,-1.0242,-1.0243
2.5440,-1.0242,-1.0244
2.5480,-1.0242,-1.0245
2.5520,-1.0242,-1.0246
2.5560,-1.0242,-1.0247
2.5600,-1.0242,-1.0247
2.5640,-1.0242,-1.0247
2.5680,-1.0242,-1.0247
2.5720,-1.0242,-1.0247
2.5760,-1.0242,-1.0247
2.5800,-1.0242,-1.0247
2.5840,-1.0242,-1.0247
2.5880,-1.0242,-1.0246
2.5920,-1.0243,-1.0246
2.5960,-1.0243,-1.0246
2.6000,-1.0243,-1.0246
2.6040,-1.0243,-1.0246
2.6080,-1.0243,-1.0247
2.6120,-1.0244,-1.0247
2.6160,-1.0244,-1.0247
2.6200,-1.0244,-1.0247
2.6240,-1.0245,-1.0247
2.6280,-1.0245,-1.0248
2.6320,-1.0245,-1.0248
2.6360,-1.0245,-1.0249
2.6400,-1.0245,-1.0250
2.6440,-1.0246,-1.0252
2.6480,-1.0246,-1.0255
2.6520,-1.0246,-1.0257
2.6560,-1.0246,-1.0258
2.6600,-1.0246,-1.0258
2.6640,-1.0246,-1.0259
2.6680,-1.0246,-1.0259
2.6720,-1.0247,-1.0259
2.6760,-1.0247,-1.0259
2.6800,-1.0248,-1.0258
2.6840,-1.0248,-1.0258
2.6880,-1.0248,-1.0258
2.6920,-1.0249,-1.0258
2.6960,-1.0249,-1.0258
2.7000,-1.0250,-1.0259
2.7040,-1.0251,-1.0259
2.7080,-1.0252,-1.0259
2.7120,-1.0253,-1.0259
2.7160,-1.0254,-1.0259
2.7200,-1.0254,-1.0261
2.7240,-1.0255,-1.0262
2.7280,-1.0255,-1.0266
2.7320,-1.0256,-1.0269
2.7360,-1.0257,-1.0271
2.7400,-1.0257,-1.0273
2.7440,-1.0258,-1.0274
2.7480,-1.0258,-1.0274
2.7520,-1.0258,-1.0274
2.7560,-1.0258,-1.0274
2.7600,-1.0259,-1.0275
2.7640,-1.0259,-1.0277
2.7680,-1.0260,-1.0278
2.7720,-1.0260,-1.0279
2.7760,-1.0261,-1.0280
2.7800,-1.0261,-1.0280
2.7840,-1.0262,-1.0281
2.7880,-1.0263,-1.0282
2.7920,-1.0264,-1.0286
2.7960,-1.0266,-1.0292
2.8000,-1.0267,-1.0297
2.8040,-1.0268,-1.0303
2.8080,-1.0270,-1.0311
2.8120,-1.0270,-1.0321
2.8160,-1.0271,-1.0330
2.8200,-1.0273,-1.0338
2.8240,-1.0275,-1.0345
2.8280,-1.0276,-1.0351
2.8320,-1.0278,-1.0357
2.8360,-1.0281,-1.0363
2.8400,-1.0283,-1.0370
2.8440,-1.0284,-1.0376
2.8480,-1.0285,-1.0386
2.8520,-1.0288,-1.0404
2.8560,-1.0292,-1.0424
2.8600,-1.0296,-1.0449
2.8640,-1.0300,-1.0474
2.8680,-1.0302,-1.0501
2.8720,-1.0305,-1.0530
2.8760,-1.0310,-1.0570
2.8800,-1.0317,-1.0615
2.8840,-1.0324,-1.0699
2.8880,-1.0332,-1.0784
2.8920,-1.0342,-1.0869
2.8960,-1.0351,-1.0953
2.9000,-1.0356,-1.1039
2.9040,-1.0363,-1.1125
2.9080,-1.0379,-1.1222
2.9120,-1.0400,-1.1319
2.9160,-1.0425,-1.1429
2.9200,-1.0455,-1.1539
2.9240,-1.0488,-1.1652
2.9280,-1.0524,-1.1766
2.9320,-1.0542,-1.1879
2.9360,-1.0567,-1.1993
2.9400,-1.0617,-1.2106
2.9440,-1.0673,-1.2219
2.9480,-1.0737,-1.2334
2.9520,-1.0808,-1.2450
2.9560,-1.0840,-1.2569
2.9600,-1.0883,-1.2689
2.9640,-1.0968,-1.2815
2.9680,-1.1060,-1.2943
2.9720,-1.1158,-1.3072
2.9760,-1.1261,-1.3202
2.9800,-1.1369,-1.3333
2.9840,-1.1484,-1.3463
2.9880,-1.1596,-1.3594
2.9920,-1.1649,-1.3727
2.9960,-1.1714,-1.3864
3.0000,-1.1835,-1.4006
3.0040,-1.1956,-1.4145
3.0080,-1.2077,-1.4282
3.0120,-1.2201,-1.4419
3.0160,-1.2327,-1.4558
3.0200,-1.2451,-1.4696
3.0240,-1.2509,-1.4835
